comment	tier	category	core_problem	concept	depends_on	enables
install missing code signage	foundational	signage and wayfinding	The absence of essential code signage compromises safety and compliance.	regulatory compliance signage	conducting a comprehensive signage audit	enhanced safety and legal adherence within the environment
install required regulatory signage	foundational	signage and wayfinding	There is a lack of essential regulatory signage that ensures compliance and safety.	regulatory compliance signage	understanding of legal requirements	a safer and legally compliant environment for users
install permanent safety messaging	foundational	signage and wayfinding	There is a lack of clear and permanent safety information that is essential for navigating the environment safely.	safety communication clarity	existing temporary safety measures	a safer and more confident navigation experience for all users
create safety signage standards	foundational	signage and wayfinding	Inconsistent safety signage may lead to confusion and increased risk in emergency situations.	safety signage standards	current signage assessment and compliance review	clear communication of safety protocols and enhanced user confidence
create a campus naming system	foundational	signage and wayfinding	There is a lack of clarity in navigating the campus, making it difficult for users to orient themselves.	campus naming hierarchy	comprehensive site mapping and analysis	improved navigation and user confidence on campus
create a room numbering system	foundational	signage and wayfinding	The lack of a clear room numbering system hinders effective navigation within the space.	entry wayfinding hierarchy	overall layout clarity and signage strategy	efficient navigation and improved visitor experience
create zone and neighborhood names	foundational	signage and wayfinding	There is a lack of clear identification for different areas within the space, leading to confusion in navigation.	neighborhood identification and wayfinding clarity	establishing a comprehensive wayfinding strategy	enhanced navigation and a sense of place for users
align names across signage, maps, and booking tools	foundational	signage and wayfinding	Inconsistent naming across various platforms leads to confusion and navigation difficulties.	brand touchpoint consistency	standardization of naming conventions	clearer navigation and a more cohesive user experience
rename duplicate or conflicting rooms	foundational	signage and wayfinding	confusion caused by similar room names hampers effective navigation.	entry wayfinding hierarchy	clear naming conventions for rooms	efficient navigation and improved user experience
update floor numbering conventions	foundational	signage and wayfinding	Inconsistent floor numbering creates confusion for users navigating the space.	entry wayfinding hierarchy	current floor numbering system clarity	clearer navigation and improved user confidence
standardize building color nomenclature	foundational	signage and wayfinding	Inconsistent building color terminology creates confusion in navigation.	brand touchpoint consistency	clear communication of color standards	improved wayfinding and a cohesive visual identity
name unlabeled major spaces	foundational	signage and wayfinding	The lack of labels for major spaces creates confusion and hinders effective navigation.	entry wayfinding hierarchy	clear identification of key areas	smooth navigation and enhanced user confidence
install signage for employee services	foundational	signage and wayfinding	Employees lack clear guidance to access essential services.	employee services wayfinding	overall navigation strategy	improved employee satisfaction and efficiency
install signage for meeting spaces	foundational	signage and wayfinding	Employees are unable to locate meeting spaces efficiently.	meeting space navigation clarity	overall wayfinding strategy	improved meeting attendance and productivity
install signage for performance zone destinations	foundational	signage and wayfinding	There is a lack of clear navigation to performance zone destinations, hindering user experience.	destination wayfinding clarity	overall site navigation strategy	improved user flow and engagement in performance areas
add department and team location identifiers	foundational	signage and wayfinding	Employees struggle to locate departments and teams efficiently.	departmental wayfinding clarity	overall signage strategy and layout	improved navigation and reduced confusion for employees
document all accessible routes	foundational	signage and wayfinding	There is a lack of clear documentation for accessible routes, which hinders navigation for individuals with disabilities.	accessible wayfinding documentation	comprehensive mapping of all routes	improved navigation for all users, particularly those with mobility challenges
create accessible campus maps	foundational	signage and wayfinding	The current campus maps are not user-friendly for all individuals, particularly those with disabilities.	accessibility in wayfinding design	comprehensive assessment of existing map formats	inclusive navigation for all campus users
publish accessible route information	foundational	signage and wayfinding	There is a lack of clear and accessible navigation information for users.	route accessibility and clarity	comprehensive mapping of routes and destinations	users can navigate confidently and efficiently
designate primary arrival points by building	foundational	signage and wayfinding	There is a lack of clarity regarding where to enter the building, leading to confusion for visitors.	entry wayfinding hierarchy	overall site navigation strategy	improved visitor orientation and reduced frustration
designate guest entrances	foundational	signage and wayfinding	There is a lack of clarity regarding where guests should enter the facility.	entry wayfinding hierarchy	overall signage strategy	improved guest flow and experience
designate vendor entrances	foundational	signage and wayfinding	There is a lack of clarity regarding where vendors should enter the facility.	entry wayfinding hierarchy	overall site navigation clarity	streamlined access for vendors and improved operational efficiency
install entry decision-point signage	foundational	signage and wayfinding	There is a lack of clear guidance at entry points, leading to confusion for visitors.	entry wayfinding hierarchy	overall wayfinding strategy	improved visitor orientation and confidence
replace pdf arrival instructions with permanent wayfinding tools	foundational	signage and wayfinding	Employees lack reliable, permanent navigation tools for arrival, leading to confusion.	permanent wayfinding tools	current reliance on temporary solutions	clear and consistent navigation for all arrivals
update google maps destinations	foundational	signage and wayfinding	Inaccurate or outdated digital navigation leads to confusion and inefficiency for users.	digital wayfinding accuracy	updating and maintaining digital mapping systems	more reliable navigation and improved user confidence
update rideshare destinations	foundational	signage and wayfinding	Rideshare destinations are unclear or outdated, causing confusion for users.	entry wayfinding hierarchy	accurate and up-to-date location data	seamless navigation for users relying on rideshare services
designate guest drop-off locations	foundational	signage and wayfinding	There is a lack of clear guidance for guests on where to drop off, leading to confusion and potential safety issues.	entry wayfinding hierarchy	overall site navigation clarity	a smoother arrival experience for guests
install drop-off identification signage	foundational	signage and wayfinding	There is a lack of clear identification for drop-off areas, leading to confusion for users.	entry wayfinding hierarchy	overall site navigation clarity	improved user experience and streamlined drop-off processes
install parking garage wayfinding signage	foundational	signage and wayfinding	There is a lack of clear navigation for users in the parking garage.	entry wayfinding hierarchy	overall site navigation clarity	improved user experience and reduced confusion
