label	cluster
cluster_0_point_0	0
cluster_1_point_1	1
cluster_2_point_2	2
cluster_3_point_3	3
cluster_4_point_4	4
cluster_0_point_5	0
cluster_1_point_6	1
cluster_2_point_7	2
cluster_3_point_8	3
cluster_4_point_9	4
cluster_0_point_10	0
cluster_1_point_11	1
cluster_2_point_12	2
cluster_3_point_13	3
cluster_4_point_14	4
cluster_0_point_15	0
cluster_1_point_16	1
cluster_2_point_17	2
cluster_3_point_18	3
cluster_4_point_19	4
cluster_0_point_20	0
cluster_1_point_21	1
cluster_2_point_22	2
cluster_3_point_23	3
cluster_4_point_24	4
cluster_0_point_25	0
cluster_1_point_26	1
cluster_2_point_27	2
cluster_3_point_28	3
cluster_4_point_29	4
cluster_0_point_30	0
cluster_1_point_31	1
cluster_2_point_32	2
cluster_3_point_33	3
cluster_4_point_34	4
cluster_0_point_35	0
cluster_1_point_36	1
cluster_2_point_37	2
cluster_3_point_38	3
cluster_4_point_39	4
cluster_0_point_40	0
cluster_1_point_41	1
cluster_2_point_42	2
cluster_3_point_43	3
cluster_4_point_44	4
cluster_0_point_45	0
cluster_1_point_46	1
cluster_2_point_47	2
cluster_3_point_48	3
cluster_4_point_49	4
cluster_0_point_50	0
cluster_1_point_51	1
cluster_2_point_52	2
cluster_3_point_53	3
cluster_4_point_54	4
cluster_0_point_55	0
cluster_1_point_56	1
cluster_2_point_57	2
cluster_3_point_58	3
cluster_4_point_59	4
cluster_0_point_60	0
cluster_1_point_61	1
cluster_2_point_62	2
cluster_3_point_63	3
cluster_4_point_64	4
cluster_0_point_65	0
cluster_1_point_66	1
cluster_2_point_67	2
cluster_3_point_68	3
cluster_4_point_69	4
cluster_0_point_70	0
cluster_1_point_71	1
cluster_2_point_72	2
cluster_3_point_73	3
cluster_4_point_74	4
cluster_0_point_75	0
cluster_1_point_76	1
cluster_2_point_77	2
cluster_3_point_78	3
cluster_4_point_79	4
cluster_0_point_80	0
cluster_1_point_81	1
cluster_2_point_82	2
cluster_3_point_83	3
cluster_4_point_84	4
cluster_0_point_85	0
cluster_1_point_86	1
cluster_2_point_87	2
cluster_3_point_88	3
cluster_4_point_89	4
cluster_0_point_90	0
cluster_1_point_91	1
cluster_2_point_92	2
cluster_3_point_93	3
cluster_4_point_94	4
cluster_0_point_95	0
cluster_1_point_96	1
cluster_2_point_97	2
cluster_3_point_98	3
cluster_4_point_99	4
cluster_0_point_100	0
cluster_1_point_101	1
cluster_2_point_102	2
cluster_3_point_103	3
cluster_4_point_104	4
cluster_0_point_105	0
cluster_1_point_106	1
cluster_2_point_107	2
cluster_3_point_108	3
cluster_4_point_109	4
cluster_0_point_110	0
cluster_1_point_111	1
cluster_2_point_112	2
cluster_3_point_113	3
cluster_4_point_114	4
cluster_0_point_115	0
cluster_1_point_116	1
cluster_2_point_117	2
cluster_3_point_118	3
cluster_4_point_119	4
cluster_0_point_120	0
cluster_1_point_121	1
cluster_2_point_122	2
cluster_3_point_123	3
cluster_4_point_124	4
cluster_0_point_125	0
cluster_1_point_126	1
cluster_2_point_127	2
cluster_3_point_128	3
cluster_4_point_129	4
cluster_0_point_130	0
cluster_1_point_131	1
cluster_2_point_132	2
cluster_3_point_133	3
cluster_4_point_134	4
cluster_0_point_135	0
cluster_1_point_136	1
cluster_2_point_137	2
cluster_3_point_138	3
cluster_4_point_139	4
cluster_0_point_140	0
cluster_1_point_141	1
cluster_2_point_142	2
cluster_3_point_143	3
cluster_4_point_144	4
cluster_0_point_145	0
cluster_1_point_146	1
cluster_2_point_147	2
cluster_3_point_148	3
cluster_4_point_149	4
cluster_0_point_150	0
cluster_1_point_151	1
cluster_2_point_152	2
cluster_3_point_153	3
cluster_4_point_154	4
cluster_0_point_155	0
cluster_1_point_156	1
cluster_2_point_157	2
cluster_3_point_158	3
cluster_4_point_159	4
cluster_0_point_160	0
cluster_1_point_161	1
cluster_2_point_162	2
cluster_3_point_163	3
cluster_4_point_164	4
cluster_0_point_165	0
cluster_1_point_166	1
cluster_2_point_167	2
cluster_3_point_168	3
cluster_4_point_169	4
cluster_0_point_170	0
cluster_1_point_171	1
cluster_2_point_172	2
cluster_3_point_173	3
cluster_4_point_174	4
cluster_0_point_175	0
cluster_1_point_176	1
cluster_2_point_177	2
cluster_3_point_178	3
cluster_4_point_179	4
cluster_0_point_180	0
cluster_1_point_181	1
cluster_2_point_182	2
cluster_3_point_183	3
cluster_4_point_184	4
cluster_0_point_185	0
cluster_1_point_186	1
cluster_2_point_187	2
cluster_3_point_188	3
cluster_4_point_189	4
cluster_0_point_190	0
cluster_1_point_191	1
cluster_2_point_192	2
cluster_3_point_193	3
cluster_4_point_194	4
cluster_0_point_195	0
cluster_1_point_196	1
cluster_2_point_197	2
cluster_3_point_198	3
cluster_4_point_199	4
